35 oracle jobs
oracle done in 3358s

  turn X            Y            split                 KC J  d_pre | freq rew freq pun spillP | all rew all pun spillP | testable  (best over alpha)
     0 Surf         Earthquake   pilot-only (even)     0.62  -0.07 |    -0.18    -1.12   1.33 |   -0.11   -1.55   1.23 | False
     0 Surf         Strength     pilot-only (even)     0.47  -0.06 |     2.72    -2.81   0.12 |    2.94   -4.08   0.14 | True
     0 Earthquake   Strength     pilot-only (even)     0.39  -0.04 |     6.04    -3.50   0.24 |    5.85   -3.61   0.46 | True
     1 Earthquake   Surf         gate-candidate (odd)  0.73   0.35 |     2.25    -1.31   0.87 |    2.16   -1.47   0.87 | False
     1 Earthquake   Strength     gate-candidate (odd)  0.63  -2.81 |     1.39    -1.70   0.56 |    1.52   -1.55   0.56 | False
     1 Surf         Strength     gate-candidate (odd)  0.68  -3.68 |     0.13    -2.01   0.64 |    0.12   -1.22   0.64 | False
     2 Psychic      Mega Drain   pilot-only (even)     0.44   8.48 |     5.84    -0.24   0.70 |    5.09   -0.10   0.81 | False
     3 Thunderbolt  Psychic      gate-candidate (odd)  0.79  -0.52 |    -0.17    -0.32   0.92 |   -0.28    0.12   0.97 | False
     4 Earthquake   Rock Slide   pilot-only (even)     0.57  -1.80 |     0.60    -0.65   0.53 |    0.61   -0.71   0.54 | False
     4 Earthquake   Strength     pilot-only (even)     0.62  -2.13 |     0.49    -0.45   0.51 |    0.45   -0.41   0.51 | False
     4 Rock Slide   Strength     pilot-only (even)     0.69  -0.48 |    -0.55    -0.12   0.94 |   -0.55    0.15   0.94 | False
     5 Surf         Psychic      gate-candidate (odd)  0.82   0.18 |     0.15    -0.17   1.07 |    0.06   -0.09   1.09 | False
     6 Surf         Psychic      pilot-only (even)     0.71  -1.60 |     0.69    -0.68   0.78 |    0.69   -0.86   0.78 | False
     6 Surf         Thunderbolt  pilot-only (even)     0.78  -1.46 |     1.77    -1.21   0.45 |    1.77   -1.54   0.45 | False
     6 Psychic      Thunderbolt  pilot-only (even)     0.71   0.28 |     1.55    -0.95   0.45 |    1.23   -0.88   0.44 | False
     7 Mega Drain   Cut          gate-candidate (odd)  0.50  -0.66 |    -0.08    -0.47   0.60 |   -0.12   -0.30   0.40 | False
     8 Flamethrower Earthquake   pilot-only (even)     0.33   1.07 |     1.05    -0.13   1.18 |    1.64    0.42   1.15 | False
     8 Flamethrower Strength     pilot-only (even)     0.35   1.00 |     1.21    -0.36   0.79 |    1.82    0.41   0.77 | False
     8 Earthquake   Strength     pilot-only (even)     0.57  -0.92 |     9.75    -5.50   0.54 |    7.72   -5.41   0.55 | True
     9 Earthquake   Thunderbolt  gate-candidate (odd)  0.65   3.67 |     4.64    -2.26   0.73 |    4.60   -1.93   0.73 | True
     9 Earthquake   Surf         gate-candidate (odd)  0.63  -1.83 |     2.90    -1.95   0.27 |    2.90   -0.64   0.27 | False
     9 Thunderbolt  Surf         gate-candidate (odd)  0.77  -3.86 |    -0.82     0.12   0.28 |   -0.82    0.04   0.28 | False
    10 Earthquake   Surf         pilot-only (even)     0.63  -3.76 |     1.62    -1.54   0.77 |    1.62   -1.62   0.77 | False
    10 Earthquake   Strength     pilot-only (even)     0.51  -1.97 |     2.39    -2.14   0.57 |    2.71   -2.69   0.57 | True
    10 Surf         Strength     pilot-only (even)     0.62  -0.84 |     3.32    -1.20   0.62 |    3.11   -2.26   0.62 | True
    11 Psychic      Tri Attack   gate-candidate (odd)  0.65   0.45 |     4.50    -2.75   0.72 |    3.32   -2.71   0.74 | True
    12 Surf         Thunderbolt  pilot-only (even)     0.83   0.88 |     1.20    -0.97   1.50 |    1.32   -0.77   1.28 | False
    13 Earthquake   Rock Slide   gate-candidate (odd)  0.33   1.25 |     3.02    -1.50   0.41 |    1.82   -1.09   0.94 | False
    13 Earthquake   Strength     gate-candidate (odd)  0.33   0.85 |     2.09    -0.71   0.96 |    1.56   -0.51   1.19 | False
    13 Rock Slide   Strength     gate-candidate (odd)  0.50  -0.18 |     2.77    -2.40   0.74 |    2.19   -1.67   0.74 | True
    14 Surf         Mega Drain   pilot-only (even)     0.50  -1.33 |     1.40    -1.90   0.59 |    1.19   -1.63   0.61 | False
    15 Surf         Earthquake   gate-candidate (odd)  0.68  -0.28 |     0.46    -1.10   0.47 |    0.07   -0.44   0.63 | False
    15 Surf         Psychic      gate-candidate (odd)  0.73  -0.29 |    -0.07    -0.98   0.75 |   -0.27   -0.20   0.85 | False
    15 Earthquake   Psychic      gate-candidate (odd)  0.70  -0.07 |     0.15    -0.69   0.93 |    0.31   -1.23   0.99 | False
design odour b      odour a      protocol check        0.04   1.80 |    18.69    -6.27   0.03 |   14.89   -5.67   0.23 | True

gate-candidate (odd): testable 3 / 16

pilot-only (even): testable 5 / 18
protocol check (design pair) testable: True
wrote results/m2/calibration/oracle.json
